date,temperature,humidity,luminosity
2022-11-10 15:13:46.435,23.2,34.4,170
2022-11-10 15:13:45.437,23.2,34.4,169
2022-11-10 15:13:44.158,23.2,34.4,171
2022-11-10 15:13:43.155,23.2,34.4,171
2022-11-10 15:13:41.881,23.1,34.3,170
2022-11-10 15:13:40.877,23.1,34.3,170
2022-11-10 15:13:39.600,23.2,34.4,170
2022-11-10 15:13:38.595,23.2,34.4,170
2022-11-10 15:13:37.322,23.2,34.4,170
2022-11-10 15:13:36.318,23.2,34.4,169
2022-11-10 15:13:35.040,23.2,34.3,169
2022-11-10 15:13:34.039,23.2,34.3,168
2022-11-10 15:13:32.761,23.2,34.3,168
2022-11-10 15:13:31.757,23.2,34.3,172
2022-11-10 15:13:30.483,23.1,34.2,171
2022-11-10 15:13:29.481,23.1,34.2,171
2022-11-10 15:13:28.201,23.1,34.2,172
2022-11-10 15:13:27.199,23.1,34.2,172
2022-11-10 15:13:25.924,23.1,34.2,171
2022-11-10 15:13:24.920,23.1,34.2,172
2022-11-10 15:13:23.642,23.1,34.2,172
2022-11-10 15:13:22.642,23.1,34.2,170
2022-11-10 15:13:21.365,23.1,34.2,173
2022-11-10 15:13:20.362,23.1,34.2,173
2022-11-10 15:13:19.083,23.1,34.2,168
2022-11-10 15:13:18.084,23.1,34.2,169
2022-11-10 15:13:16.806,23.2,34.3,170
2022-11-10 15:13:15.803,23.2,34.3,170
2022-11-10 15:13:14.529,23.1,34.2,170
2022-11-10 15:13:13.524,23.1,34.2,170
2022-11-10 15:13:12.247,23.1,34.2,171
2022-11-10 15:13:11.242,23.1,34.2,172
2022-11-10 15:13:09.968,23.1,34.3,171
2022-11-10 15:13:08.965,23.1,34.3,172
2022-11-10 15:13:07.687,23.2,34.3,171
2022-11-10 15:13:06.683,23.2,34.3,170
2022-11-10 15:13:05.410,23.1,34.3,170
2022-11-10 15:13:04.406,23.1,34.3,170
2022-11-10 15:13:03.128,23.1,34.3,170
2022-11-10 15:13:02.128,23.1,34.3,169
2022-11-10 15:13:00.851,23.1,34.3,170
2022-11-10 15:12:59.846,23.1,34.3,170
2022-11-10 15:12:58.568,23.1,34.3,169
2022-11-10 15:12:57.569,23.1,34.3,169
2022-11-10 15:12:56.290,23.1,34.4,168
2022-11-10 15:12:55.287,23.1,34.4,168
2022-11-10 15:12:54.009,23.1,34.4,168
2022-11-10 15:12:53.010,23.1,34.4,168
2022-11-10 15:12:51.731,23.1,34.4,168
2022-11-10 15:12:50.727,23.1,34.4,168
2022-11-10 15:12:49.454,23.2,34.5,167
2022-11-10 15:12:48.450,23.2,34.5,170
2022-11-10 15:12:47.172,23.1,34.4,169
2022-11-10 15:12:46.172,23.1,34.4,168
2022-11-10 15:12:44.894,23.1,34.4,169
2022-11-10 15:12:43.892,23.1,34.4,168
2022-11-10 15:12:42.618,23.1,34.4,168
2022-11-10 15:12:41.613,23.1,34.4,169
2022-11-10 15:12:40.335,23.1,34.4,169
2022-11-10 15:12:39.332,23.1,34.4,169
2022-11-10 15:12:38.057,23.1,34.3,168
2022-11-10 15:12:37.053,23.1,34.3,168
2022-11-10 15:12:35.776,23.1,34.3,168
2022-11-10 15:12:34.776,23.1,34.3,169
2022-11-10 15:12:33.499,23.1,34.3,168
2022-11-10 15:12:32.495,23.1,34.3,169
2022-11-10 15:12:31.217,23.1,34.3,167
2022-11-10 15:12:30.218,23.1,34.3,168
2022-11-10 15:12:28.939,23.1,34.3,176
2022-11-10 15:12:27.936,23.1,34.3,176
2022-11-10 15:12:26.658,23.1,34.3,176
2022-11-10 15:12:25.659,23.1,34.3,176
2022-11-10 15:12:24.381,23.1,34.3,175
2022-11-10 15:12:23.378,23.1,34.3,178
2022-11-10 15:12:22.099,23.1,34.3,178
2022-11-10 15:12:21.099,23.1,34.3,178
2022-11-10 15:12:19.821,23.1,34.3,178
2022-11-10 15:12:18.818,23.1,34.3,178
2022-11-10 15:12:17.544,23.1,34.3,177
2022-11-10 15:12:16.541,23.1,34.3,177
2022-11-10 15:12:15.262,23.1,34.3,178
2022-11-10 15:12:14.259,23.1,34.3,177
2022-11-10 15:12:12.984,23.1,34.3,177
2022-11-10 15:12:11.980,23.1,34.3,178
2022-11-10 15:12:10.702,23.1,34.3,177
2022-11-10 15:12:09.700,23.1,34.3,177
2022-11-10 15:12:08.425,23.1,34.2,178
2022-11-10 15:12:07.421,23.1,34.2,176
2022-11-10 15:12:06.144,23.1,34.2,176
2022-11-10 15:12:05.144,23.1,34.2,177
2022-11-10 15:12:03.866,23.1,34.2,177
2022-11-10 15:12:02.862,23.1,34.2,177
2022-11-10 15:12:01.585,23.1,34.2,178
2022-11-10 15:12:00.584,23.1,34.2,177
2022-11-10 15:11:59.307,23.1,34.2,177
2022-11-10 15:11:58.303,23.1,34.2,178
2022-11-10 15:11:57.025,23.1,34.2,178
2022-11-10 15:11:56.026,23.1,34.2,177
2022-11-10 15:11:54.747,23.1,34.2,177
2022-11-10 15:11:53.744,23.1,34.2,178
2022-11-10 15:11:52.469,23.1,34.2,178
2022-11-10 15:11:51.465,23.1,34.2,178
2022-11-10 15:11:50.188,23.1,34.2,177
2022-11-10 15:11:49.185,23.1,34.2,177
2022-11-10 15:11:47.910,23.1,34.2,178
2022-11-10 15:11:46.906,23.1,34.2,178
2022-11-10 15:11:45.629,23.1,34.2,178
2022-11-10 15:11:44.625,23.1,34.2,178
2022-11-10 15:11:43.352,23.1,34.2,178
2022-11-10 15:11:42.348,23.1,34.2,178
2022-11-10 15:11:41.069,23.1,34.2,178
2022-11-10 15:11:40.070,23.1,34.2,178
2022-11-10 15:11:38.792,23.1,34.2,178
2022-11-10 15:11:37.789,23.1,34.2,179
2022-11-10 15:11:36.510,23.1,34.2,178
